Month,Price,Category,Districts
2017 April,488,Bivoltine Hybrid ,Hindhupur
2017 May,483,Bivoltine Hybrid ,Hindhupur
2017 June,476,Bivoltine Hybrid ,Hindhupur
2017 July,410,Bivoltine Hybrid ,Hindhupur
2017 August,403,Bivoltine Hybrid ,Hindhupur
2017 September,444,Bivoltine Hybrid ,Hindhupur
2017 October,388,Bivoltine Hybrid ,Hindhupur
2017 November,449,Bivoltine Hybrid ,Hindhupur
2017 December,499,Bivoltine Hybrid ,Hindhupur
2018 January,541,Bivoltine Hybrid ,Hindhupur
2018 February,525,Bivoltine Hybrid ,Hindhupur
2018 March,458,Bivoltine Hybrid ,Hindhupur
2018 April,420,Bivoltine Hybrid ,Hindhupur
2018 May,415,Bivoltine Hybrid ,Hindhupur
2018 June,383,Bivoltine Hybrid ,Hindhupur
2018 July,297,Bivoltine Hybrid ,Hindhupur
2018 August,301,Bivoltine Hybrid ,Hindhupur
2018 September,352,Bivoltine Hybrid ,Hindhupur
2018 October,316,Bivoltine Hybrid ,Hindhupur
2018 November,301,Bivoltine Hybrid ,Hindhupur
2018 December,294,Bivoltine Hybrid ,Hindhupur
2019 January,336,Bivoltine Hybrid ,Hindhupur
2019 February,309,Bivoltine Hybrid ,Hindhupur
2019 March,306,Bivoltine Hybrid ,Hindhupur
2019 April,299,Bivoltine Hybrid ,Hindhupur
2019 May,386,Bivoltine Hybrid ,Hindhupur
2019 June,373,Bivoltine Hybrid ,Hindhupur
2019 July,360,Bivoltine Hybrid ,Hindhupur
2019 August,350,Bivoltine Hybrid ,Hindhupur
2019 September,394,Bivoltine Hybrid ,Hindhupur
2019 October,358,Bivoltine Hybrid ,Hindhupur
2019 November,381,Bivoltine Hybrid ,Hindhupur
2019 December,418,Bivoltine Hybrid ,Hindhupur
2020 January,460,Bivoltine Hybrid ,Hindhupur
2020 February,504,Bivoltine Hybrid ,Hindhupur
2020 March,404,Bivoltine Hybrid ,Hindhupur
2020 April,286,Bivoltine Hybrid ,Hindhupur
2020 May,223,Bivoltine Hybrid ,Hindhupur
2020 June,251,Bivoltine Hybrid ,Hindhupur
2020 July,182,Bivoltine Hybrid ,Hindhupur
2020 August,264,Bivoltine Hybrid ,Hindhupur
2020 September,256,Bivoltine Hybrid ,Hindhupur
2020 October,266,Bivoltine Hybrid ,Hindhupur
2020 November,317,Bivoltine Hybrid ,Hindhupur
2020 December,373,Bivoltine Hybrid ,Hindhupur
2021 January,391,Bivoltine Hybrid ,Hindhupur
2021 February,420,Bivoltine Hybrid ,Hindhupur
