Month,Price,Category,Districts
2017 April,532,Bivoltine Hybrid ,Ramanagaram
2017 May,477,Bivoltine Hybrid ,Ramanagaram
2017 June,489,Bivoltine Hybrid ,Ramanagaram
2017 July,408,Bivoltine Hybrid ,Ramanagaram
2017 August,459,Bivoltine Hybrid ,Ramanagaram
2017 September,459,Bivoltine Hybrid ,Ramanagaram
2017 October,404,Bivoltine Hybrid ,Ramanagaram
2017 November,489,Bivoltine Hybrid ,Ramanagaram
2017 December,549,Bivoltine Hybrid ,Ramanagaram
2018 January,548,Bivoltine Hybrid ,Ramanagaram
2018 February,576,Bivoltine Hybrid ,Ramanagaram
2018 March,512,Bivoltine Hybrid ,Ramanagaram
2018 April,447,Bivoltine Hybrid ,Ramanagaram
2018 May,430,Bivoltine Hybrid ,Ramanagaram
2018 June,387,Bivoltine Hybrid ,Ramanagaram
2018 July,307,Bivoltine Hybrid ,Ramanagaram
2018 August,323,Bivoltine Hybrid ,Ramanagaram
2018 September,340,Bivoltine Hybrid ,Ramanagaram
2018 October,313,Bivoltine Hybrid ,Ramanagaram
2018 November,312,Bivoltine Hybrid ,Ramanagaram
2018 December,312,Bivoltine Hybrid ,Ramanagaram
2019 January,338,Bivoltine Hybrid ,Ramanagaram
2019 February,323,Bivoltine Hybrid ,Ramanagaram
2019 March,337,Bivoltine Hybrid ,Ramanagaram
2019 April,325,Bivoltine Hybrid ,Ramanagaram
2019 May,368,Bivoltine Hybrid ,Ramanagaram
2019 June,357,Bivoltine Hybrid ,Ramanagaram
2019 July,361,Bivoltine Hybrid ,Ramanagaram
2019 August,366,Bivoltine Hybrid ,Ramanagaram
2019 September,410,Bivoltine Hybrid ,Ramanagaram
2019 October,376,Bivoltine Hybrid ,Ramanagaram
2019 November,387,Bivoltine Hybrid ,Ramanagaram
2019 December,441,Bivoltine Hybrid ,Ramanagaram
2020 January,481,Bivoltine Hybrid ,Ramanagaram
2020 February,534,Bivoltine Hybrid ,Ramanagaram
2020 March,439,Bivoltine Hybrid ,Ramanagaram
2020 April,300,Bivoltine Hybrid ,Ramanagaram
2020 May,267,Bivoltine Hybrid ,Ramanagaram
2020 June,274,Bivoltine Hybrid ,Ramanagaram
2020 July,213,Bivoltine Hybrid ,Ramanagaram
2020 August,284,Bivoltine Hybrid ,Ramanagaram
2020 September,282,Bivoltine Hybrid ,Ramanagaram
2020 October,292,Bivoltine Hybrid ,Ramanagaram
2020 November,338,Bivoltine Hybrid ,Ramanagaram
2020 December,401,Bivoltine Hybrid ,Ramanagaram
2021 January,406,Bivoltine Hybrid ,Ramanagaram
2021 February,456,Bivoltine Hybrid ,Ramanagaram
