Month,Price,Category,Districts
2017 April,525,BivoltineHybrid,Dharmapuri
2017 May,491,BivoltineHybrid,Dharmapuri
2017 June,502,BivoltineHybrid,Dharmapuri
2017 July,425,BivoltineHybrid,Dharmapuri
2017 August,466,BivoltineHybrid,Dharmapuri
2017 September,465,BivoltineHybrid,Dharmapuri
2017 October,401,BivoltineHybrid,Dharmapuri
2017 November,471,BivoltineHybrid,Dharmapuri
2017 December,545,BivoltineHybrid,Dharmapuri
2018 January,545,BivoltineHybrid,Dharmapuri
2018 February,554,BivoltineHybrid,Dharmapuri
2018 March,516,BivoltineHybrid,Dharmapuri
2018 April,430,BivoltineHybrid,Dharmapuri
2018 May,393,BivoltineHybrid,Dharmapuri
2018 June,399,BivoltineHybrid,Dharmapuri
2018 July,310,BivoltineHybrid,Dharmapuri
2018 August,339,BivoltineHybrid,Dharmapuri
2018 September,349,BivoltineHybrid,Dharmapuri
2018 October,295,BivoltineHybrid,Dharmapuri
2018 November,309,BivoltineHybrid,Dharmapuri
2018 December,293,BivoltineHybrid,Dharmapuri
2019 January,331,BivoltineHybrid,Dharmapuri
2019 February,311,BivoltineHybrid,Dharmapuri
2019 March,320,BivoltineHybrid,Dharmapuri
2019 April,312,BivoltineHybrid,Dharmapuri
2019 May,360,BivoltineHybrid,Dharmapuri
2019 June,360,BivoltineHybrid,Dharmapuri
2019 July,362,BivoltineHybrid,Dharmapuri
2019 August,367,BivoltineHybrid,Dharmapuri
2019 September,416,BivoltineHybrid,Dharmapuri
2019 October,346,BivoltineHybrid,Dharmapuri
2019 November,350,BivoltineHybrid,Dharmapuri
2019 December,400,BivoltineHybrid,Dharmapuri
2020 January,455,BivoltineHybrid,Dharmapuri
2020 February,507,BivoltineHybrid,Dharmapuri
2020 March,404,BivoltineHybrid,Dharmapuri
2020 April,288,BivoltineHybrid,Dharmapuri
2020 May,211,BivoltineHybrid,Dharmapuri
2020 June,267,BivoltineHybrid,Dharmapuri
2020 July,180,BivoltineHybrid,Dharmapuri
2020 August,171,BivoltineHybrid,Dharmapuri
2020 September,269,BivoltineHybrid,Dharmapuri
2020 October,271,BivoltineHybrid,Dharmapuri
2020 November,313,BivoltineHybrid,Dharmapuri
2020 December,385,BivoltineHybrid,Dharmapuri
2021 January,367,BivoltineHybrid,Dharmapuri
2021 February,446,BivoltineHybrid,Dharmapuri
