Month,Price,Category,Districts
2017 April,364,CrossBreed,Hindhupur
2017 May,357,CrossBreed,Hindhupur
2017 June,365,CrossBreed,Hindhupur
2017 July,340,CrossBreed,Hindhupur
2017 August,330,CrossBreed,Hindhupur
2017 September,350,CrossBreed,Hindhupur
2017 October,290,CrossBreed,Hindhupur
2017 November,313,CrossBreed,Hindhupur
2017 December,326,CrossBreed,Hindhupur
2018 January,355,CrossBreed,Hindhupur
2018 February,310,CrossBreed,Hindhupur
2018 March,285,CrossBreed,Hindhupur
2018 April,282,CrossBreed,Hindhupur
2018 May,282,CrossBreed,Hindhupur
2018 June,270,CrossBreed,Hindhupur
2018 July,221,CrossBreed,Hindhupur
2018 August,203,CrossBreed,Hindhupur
2018 September,221,CrossBreed,Hindhupur
2018 October,210,CrossBreed,Hindhupur
2018 November,210,CrossBreed,Hindhupur
2018 December,207,CrossBreed,Hindhupur
2019 January,193,CrossBreed,Hindhupur
2019 February,215,CrossBreed,Hindhupur
2019 March,210,CrossBreed,Hindhupur
2019 April,232,CrossBreed,Hindhupur
2019 May,260,CrossBreed,Hindhupur
2019 June,250,CrossBreed,Hindhupur
2019 July,258,CrossBreed,Hindhupur
2019 August,265,CrossBreed,Hindhupur
2019 September,288,CrossBreed,Hindhupur
2019 October,259,CrossBreed,Hindhupur
2019 November,283,CrossBreed,Hindhupur
2019 December,306,CrossBreed,Hindhupur
2020 January,310,CrossBreed,Hindhupur
2020 February,366,CrossBreed,Hindhupur
2020 March,222,CrossBreed,Hindhupur
2020 April,201,CrossBreed,Hindhupur
2020 May,168,CrossBreed,Hindhupur
2020 June,169,CrossBreed,Hindhupur
2020 July,143,CrossBreed,Hindhupur
2020 August,187,CrossBreed,Hindhupur
2020 September,189,CrossBreed,Hindhupur
2020 October,189,CrossBreed,Hindhupur
2020 November,236,CrossBreed,Hindhupur
2020 December,259,CrossBreed,Hindhupur
2021 January,255,CrossBreed,Hindhupur
2021 February,276,CrossBreed,Hindhupur
