Month,Price,Category,Districts
2017 April,447,Cross Breed,Ramanagaram
2017 May,390,Cross Breed,Ramanagaram
2017 June,387,Cross Breed,Ramanagaram
2017 July,344,Cross Breed,Ramanagaram
2017 August,376,Cross Breed,Ramanagaram
2017 September,361,Cross Breed,Ramanagaram
2017 October,333,Cross Breed,Ramanagaram
2017 November,400,Cross Breed,Ramanagaram
2017 December,468,Cross Breed,Ramanagaram
2018 January,453,Cross Breed,Ramanagaram
2018 February,473,Cross Breed,Ramanagaram
2018 March,431,Cross Breed,Ramanagaram
2018 April,359,Cross Breed,Ramanagaram
2018 May,329,Cross Breed,Ramanagaram
2018 June,271,Cross Breed,Ramanagaram
2018 July,239,Cross Breed,Ramanagaram
2018 August,279,Cross Breed,Ramanagaram
2018 September,280,Cross Breed,Ramanagaram
2018 October,245,Cross Breed,Ramanagaram
2018 November,249,Cross Breed,Ramanagaram
2018 December,271,Cross Breed,Ramanagaram
2019 January,307,Cross Breed,Ramanagaram
2019 February,285,Cross Breed,Ramanagaram
2019 March,297,Cross Breed,Ramanagaram
2019 April,283,Cross Breed,Ramanagaram
2019 May,307,Cross Breed,Ramanagaram
2019 June,281,Cross Breed,Ramanagaram
2019 July,293,Cross Breed,Ramanagaram
2019 August,295,Cross Breed,Ramanagaram
2019 September,336,Cross Breed,Ramanagaram
2019 October,314,Cross Breed,Ramanagaram
2019 November,343,Cross Breed,Ramanagaram
2019 December,384,Cross Breed,Ramanagaram
2020 January,417,Cross Breed,Ramanagaram
2020 February,452,Cross Breed,Ramanagaram
2020 March,371,Cross Breed,Ramanagaram
2020 April,264,Cross Breed,Ramanagaram
2020 May,217,Cross Breed,Ramanagaram
2020 June,214,Cross Breed,Ramanagaram
2020 July,171,Cross Breed,Ramanagaram
2020 August,237,Cross Breed,Ramanagaram
2020 September,231,Cross Breed,Ramanagaram
2020 October,246,Cross Breed,Ramanagaram
2020 November,283,Cross Breed,Ramanagaram
2020 December,327,Cross Breed,Ramanagaram
2021 January,337,Cross Breed,Ramanagaram
2021 February,376,Cross Breed,Ramanagaram
