,0,Category,Districts,HWES1,HWES2_ADD,HWES2_MUL,HWES3_ADD,HWES3_MUL,Price
2017-04-01,,Bivoltine Hybrid ,Ramanagaram,532.0,542.5839999971801,531.5416233026722,533.1120146477507,531.9811942730979,532.0
2017-05-01,,Bivoltine Hybrid ,Ramanagaram,532.0,530.6032565750951,525.5106180904205,516.2001675625382,506.29454860323284,477.0
2017-06-01,,Bivoltine Hybrid ,Ramanagaram,529.7083333333334,475.59833743001855,471.18118326082646,467.63419086423306,465.5082364308327,489.0
2017-07-01,,Bivoltine Hybrid ,Ramanagaram,528.0121527777778,487.5235246667972,483.0344258570198,434.19257388599465,418.0029330204965,408.0
2017-08-01,,Bivoltine Hybrid ,Ramanagaram,523.0116464120372,406.55557153715847,403.0223256960663,443.30205153238177,447.88657605858646,459.0
2017-09-01,,Bivoltine Hybrid ,Ramanagaram,520.3444944782023,457.43887885315314,453.3998381174526,473.61698346191076,477.2189186762885,459.0
2017-10-01,,Bivoltine Hybrid ,Ramanagaram,517.7884738749439,457.50950412543847,453.4004960912456,432.3258525605616,422.58634950165845,404.0
2017-11-01,,Bivoltine Hybrid ,Ramanagaram,513.0472874634879,402.52098733865415,399.0711900539735,439.49309384008046,446.74286411297703,489.0
2017-12-01,,Bivoltine Hybrid ,Ramanagaram,512.0453171525093,487.4335010403705,483.0347163048912,533.5092288685789,547.2217524412697,549.0
2018-01-01,,Bivoltine Hybrid ,Ramanagaram,513.5850956044881,547.5396264986726,542.3046255901473,566.889763487864,568.8096000568347,548.0
2018-02-01,,Bivoltine Hybrid ,Ramanagaram,515.0190499543011,546.622776548596,541.3175869609576,577.0288971224219,585.9138556864483,576.0
2018-03-01,,Bivoltine Hybrid ,Ramanagaram,517.5599228728719,574.618253185547,568.9765596750079,527.5976857058663,509.660276136889,512.0
2018-04-01,,Bivoltine Hybrid ,Ramanagaram,517.3282594198356,510.66893600280275,505.75689313763615,439.22346142072456,423.4248257129587,447.0
2018-05-01,,Bivoltine Hybrid ,Ramanagaram,514.3979152773425,445.5954357584285,441.54855763826754,431.12255041619693,425.38644836935583,430.0
2018-06-01,,Bivoltine Hybrid ,Ramanagaram,510.8813354741199,428.51209452768796,424.7551748584164,420.6348761523991,419.6200604249777,387.0
2018-07-01,,Bivoltine Hybrid ,Ramanagaram,505.71961316269824,385.49828261293567,382.27928198385405,332.09153577891624,330.8417653645535,307.0
2018-08-01,,Bivoltine Hybrid ,Ramanagaram,497.4396292809192,305.4559129390695,303.2544513244563,342.19116794905176,337.0248141092843,323.0
2018-09-01,,Bivoltine Hybrid ,Ramanagaram,490.17131139421423,321.34671942921153,319.05858012738184,337.4364436417541,335.8360919112194,340.0
2018-10-01,,Bivoltine Hybrid ,Ramanagaram,483.9141734194553,338.3671696571868,335.8515715788268,313.1719456761652,313.0159220531271,313.0
2018-11-01,,Bivoltine Hybrid ,Ramanagaram,476.79274952697807,311.3968300361815,309.18104677907814,348.39947544756876,346.1043751284679,312.0
2018-12-01,,Bivoltine Hybrid ,Ramanagaram,469.926384963354,310.3624309449039,308.19302551995463,356.2498788570864,349.1938726466989,312.0
2019-01-01,,Bivoltine Hybrid ,Ramanagaram,463.34611892321425,310.3629595222984,308.1930901399984,329.49187393727277,323.28470319960246,338.0
2019-02-01,,Bivoltine Hybrid ,Ramanagaram,458.1233639680803,336.3603324012477,333.87620784634936,366.67261756734774,361.3648872401233,323.0
2019-03-01,,Bivoltine Hybrid ,Ramanagaram,452.4932238027436,321.4000346448628,319.0594381342573,274.16216435216734,285.8187226624469,337.0
2019-04-01,,Bivoltine Hybrid ,Ramanagaram,447.681006144296,335.3792405413298,332.8886921835482,263.93537106606783,278.67175847256016,325.0
2019-05-01,,Bivoltine Hybrid ,Ramanagaram,442.56929755495037,323.4021479004274,321.03521190540835,308.9583745316595,309.26664954924775,368.0
2019-06-01,,Bivoltine Hybrid ,Ramanagaram,439.46224349016074,366.380304594437,363.51108541334224,358.60279291719365,359.08052004562927,357.0
2019-07-01,,Bivoltine Hybrid ,Ramanagaram,436.0263166780707,355.4422387227513,352.64570544113064,302.1369479611695,305.1789117334174,361.0
2019-08-01,,Bivoltine Hybrid ,Ramanagaram,432.9002201498178,359.42858414940514,356.59692279429726,396.4115597135663,396.2437527601112,366.0
2019-09-01,,Bivoltine Hybrid ,Ramanagaram,430.1127109769088,364.43494653754124,361.53611690230974,380.65308429501647,380.5550215515374,410.0
2019-10-01,,Bivoltine Hybrid ,Ramanagaram,429.2746813528709,408.435849116259,405.0001378204471,383.43959936356464,377.44515997988594,376.0
2019-11-01,,Bivoltine Hybrid ,Ramanagaram,427.054902963168,374.50312921198866,371.41503180689216,411.6584833831042,415.76862476695953,387.0
2019-12-01,,Bivoltine Hybrid ,Ramanagaram,425.385948673036,385.45709078616284,382.28072115428694,431.5308031880845,433.1244583180435,441.0
2020-01-01,,Bivoltine Hybrid ,Ramanagaram,426.03653414499286,439.4642561574561,435.62309666477597,458.8829359472247,456.908109630088,481.0
2020-02-01,,Bivoltine Hybrid ,Ramanagaram,428.3266785556182,479.53206823091296,475.1365780321038,510.10262297044216,514.247754409768,534.0
2020-03-01,,Bivoltine Hybrid ,Ramanagaram,432.72973361580074,532.5786790481621,527.4917057845048,485.7306074725142,472.48021694136855,439.0
2020-04-01,,Bivoltine Hybrid ,Ramanagaram,432.9909947151424,437.6687046105648,433.64959513902187,366.2995346942315,363.0735708299158,300.0
2020-05-01,,Bivoltine Hybrid ,Ramanagaram,427.44970326867815,298.5663113486911,296.3426739139581,284.0435279038968,285.5450766127275,267.0
2020-06-01,,Bivoltine Hybrid ,Ramanagaram,420.7642989658166,265.3857285748861,263.7434897233868,257.50740168315673,260.5689219096723,274.0
2020-07-01,,Bivoltine Hybrid ,Ramanagaram,414.6491198422409,272.3415457408817,270.6578829487599,219.0610682516616,234.21825746955375,213.0
2020-08-01,,Bivoltine Hybrid ,Ramanagaram,406.2470731821476,211.36358553074345,210.401756553444,248.209594279116,233.83502316902764,284.0
2020-09-01,,Bivoltine Hybrid ,Ramanagaram,401.1534451328914,282.2706396746087,280.53598342347726,298.5693536549353,295.24224766076725,282.0
2020-10-01,,Bivoltine Hybrid ,Ramanagaram,396.1887182523543,280.36888299734824,278.56118447666904,255.27858089685492,259.62949178933303,292.0
2020-11-01,,Bivoltine Hybrid ,Ramanagaram,391.84752165850625,290.36647981002284,288.4393865966983,327.57560114551217,322.8590797468014,338.0
2020-12-01,,Bivoltine Hybrid ,Ramanagaram,389.60387492273514,336.37386019754604,333.8792342043322,382.5279807407725,378.25391217271283,401.0
2021-01-01,,Bivoltine Hybrid ,Ramanagaram,390.0787134676212,399.4269351750901,396.11264821046154,418.90586795362935,415.4542693933295,406.0
2021-02-01,,Bivoltine Hybrid ,Ramanagaram,390.74210040647034,404.5131507976668,401.0525374887082,435.0575056613917,434.08514896347157,456.0
2020-10-01,275.59435921491007,,,,,,,,
