,0,Category,Districts,HWES1,HWES2_ADD,HWES2_MUL,HWES3_ADD,HWES3_MUL,Price
2017-04-01,,Cross Breed,Ramanagaram,447.0,447.0400250508673,446.64641781343744,446.8063274343896,445.8349817872477,447.0
2017-05-01,,Cross Breed,Ramanagaram,447.0,445.459683102587,441.1937176357575,418.8635955171498,407.85900344565704,390.0
2017-06-01,,Cross Breed,Ramanagaram,444.625,388.4596839284043,384.93428590031874,368.1975914602528,363.58848054058836,387.0
2017-07-01,,Cross Breed,Ramanagaram,442.22395833333337,385.45968312374157,381.97270216035406,360.3295479668415,351.03393138908064,344.0
2017-08-01,,Cross Breed,Ramanagaram,438.1312934027778,342.459683719788,339.5314287160815,379.4975110346959,383.5005489038398,376.0
2017-09-01,,Cross Breed,Ramanagaram,435.54248951099544,374.4596826022009,371.11525191997504,382.03496260037076,382.4420837804175,361.0
2017-10-01,,Cross Breed,Ramanagaram,432.43655244803733,359.4596833025555,356.310523927404,343.6514392804716,339.6995402473684,333.0
2017-11-01,,Cross Breed,Ramanagaram,428.2933627627025,331.4596834962706,328.6742161010491,367.4057944493751,375.47606413355595,400.0
2017-12-01,,Cross Breed,Ramanagaram,427.11447264758993,398.4596820806603,394.80353163199703,442.84753618309475,454.3360028146421,468.0
2018-01-01,,Cross Breed,Ramanagaram,428.8180362872737,466.4596820657591,461.9209783128068,482.99362772516383,482.99736128043605,453.0
2018-02-01,,Cross Breed,Ramanagaram,429.8256181086373,451.4596833025555,447.1166022067467,471.3792059935514,478.9226016072463,473.0
2018-03-01,,Cross Breed,Ramanagaram,431.62455068744407,471.45968278101486,466.8567033885759,435.7531893708993,423.6695837237652,431.0
2018-04-01,,Cross Breed,Ramanagaram,431.5985277421339,429.45968370488686,425.40255523834855,366.97622502510364,352.43802356887454,359.0
2018-05-01,,Cross Breed,Ramanagaram,428.57358908621165,357.4596841519217,354.33754466455065,330.8559749871588,327.1600476286731,329.0
2018-06-01,,Cross Breed,Ramanagaram,424.42468954095284,327.4596835260729,324.72658346309237,306.9709080501677,305.4821843484486,271.0
2018-07-01,,Cross Breed,Ramanagaram,418.03199414341316,269.45968394330544,267.4799246211996,244.6244245612496,249.4678885844619,239.0
2018-08-01,,Cross Breed,Ramanagaram,410.57232772077094,237.45968355587524,235.89516017357428,274.32462067573044,266.9331191503972,279.0
2018-09-01,,Cross Breed,Ramanagaram,405.0901473990722,277.45968248299164,275.37513328921017,284.8931046613562,282.3693101442633,280.0
2018-10-01,,Cross Breed,Ramanagaram,399.87805792411086,278.4596830641369,276.36259620876416,262.47513627091587,262.42641256704496,245.0
2018-11-01,,Cross Breed,Ramanagaram,393.42480551060623,243.4596836005787,241.81741653070472,279.3889929011952,277.3596658615817,249.0
2018-12-01,,Cross Breed,Ramanagaram,387.40710528099765,247.45968301943344,245.76509879778686,292.1505254648934,286.74731793732093,271.0
2019-01-01,,Cross Breed,Ramanagaram,382.5568092276228,269.45968275121254,267.47933301482556,286.1031881605654,281.61268043542975,307.0
2019-02-01,,Cross Breed,Ramanagaram,379.40860884313855,305.4596825425963,303.0119101729568,324.8474045473723,320.7794648278393,285.0
2019-03-01,,Cross Breed,Ramanagaram,375.4749168080078,283.45968340686363,281.29814603010334,247.84134314758603,257.5475713708301,297.0
2019-04-01,,Cross Breed,Ramanagaram,372.2051286076741,295.45968290022415,293.1420484987873,232.4408546330796,240.6439373799748,283.0
2019-05-01,,Cross Breed,Ramanagaram,368.48824824902107,281.45968328765434,279.32409164479606,254.37498956890062,255.22684458085774,307.0
2019-06-01,,Cross Breed,Ramanagaram,365.9262379053119,305.4596827214102,303.01219602121705,284.60224276811084,281.3911728018291,281.0
2019-07-01,,Cross Breed,Ramanagaram,362.3876446592572,279.4596834664683,277.3502612084164,254.46829301677278,256.13389985701605,293.0
2019-08-01,,Cross Breed,Ramanagaram,359.4964927984548,291.45968290022415,289.19412569313295,328.1481152207901,322.8859532053903,295.0
2019-09-01,,Cross Breed,Ramanagaram,356.80913893185254,293.45968304923576,291.16830425509846,301.2653724249364,301.81471412334884,336.0
2019-10-01,,Cross Breed,Ramanagaram,355.9420914763587,334.4596824680905,331.6357914428,318.3347979150089,312.1791550218081,314.0
2019-11-01,,Cross Breed,Ramanagaram,354.1945043315104,312.45968340686363,309.92204160941714,348.46433612107273,353.33066542061806,343.0
2019-12-01,,Cross Breed,Ramanagaram,353.7280666510309,341.4596826469044,338.54516266372633,386.1764956630751,392.41325434187314,384.0
2020-01-01,,Cross Breed,Ramanagaram,354.9893972072379,382.4596824680905,379.0130070499715,399.2019043121433,397.90500334601364,417.0
